loan_id,customer_id,age,gender,education,marital_status,employment_type,employment_length_months,annual_income,monthly_income,existing_emi,debt_to_income,credit_score,credit_history_length_months,delinquency_count,past_default_flag,loan_amount,loan_term_months,interest_rate,emi_amount,loan_purpose,loan_product,disbursal_date,repayment_status,first_emi_default_flag,loan_source_type,state,district,city,pincode,urban_rural_flag,branch_code,branch_region,service_area_cluster,distance_to_branch_km,area_default_rate,district_risk_score,state_risk_score,population_density_band,economic_activity_type,channel,has_mortgage,has_dependents,has_cosigner,loan_default
LN100026,C200026,24,Male,PostGraduate,Single,Business,32,105900,8825,1177,2.0,557,62,0,0,1002000,84,14.58,19100,Education,Unsecured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,411551,SemiUrban,AUTO,WestZone,0,24.6,14.6,0.359,0.351,Medium,Salaried,Field,Yes,Yes,No,1
LN100027,C200027,42,Male,PostGraduate,Single,Salaried,175,50300,4192,100,2.0,607,256,1,1,628000,36,13.02,21166,Vehicle,Secured,2024-01-01,Active,0,Repeat,Maharashtra,Unknown,Unknown,862667,Urban,AUTO,WestZone,3,2.8,16.2,0.469,0.428,High,Salaried,Field,No,No,Yes,1
LN100028,C200028,30,Male,PostGraduate,Married,Business,22,268800,22400,312,2.0,509,33,0,1,957000,12,15.85,86762,Personal,Unsecured,2024-01-01,Active,1,New,Uttar Pradesh,Unknown,Unknown,877579,SemiUrban,AUTO,NorthZone,1,1.5,21.2,0.727,0.658,Low,Salaried,Digital,Yes,Yes,No,1
LN100029,C200029,34,Male,PostGraduate,Divorced,SelfEmployed,53,41000,3417,128,2.0,581,36,0,0,350000,18,11.61,21280,Home,Secured,2024-01-01,Active,1,New,West Bengal,Unknown,Unknown,362987,SemiUrban,AUTO,EastZone,1,13.0,15.7,0.414,0.507,Low,MSME,Digital,Yes,Yes,No,1
LN100030,C200030,30,Male,PostGraduate,Single,SelfEmployed,18,239700,19975,1977,2.0,544,52,0,0,2362000,24,15.92,115561,Home,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,489417,SemiUrban,AUTO,NorthZone,3,0.6,20.4,0.516,0.566,Medium,Salaried,Branch,No,No,No,1
LN100031,C200031,60,Female,HighSchool,Married,SelfEmployed,1,16700,1392,108,2.0,588,13,1,0,99000,18,17.33,6285,Personal,Unsecured,2024-01-01,Active,0,TopUp,Tamil Nadu,Unknown,Unknown,804277,Urban,AUTO,SouthZone,1,62.3,11.6,0.467,0.395,High,Agri,Digital,No,No,Yes,1
LN100032,C200032,37,Male,Graduate,Single,Salaried,98,101600,8467,84,2.0,674,165,1,0,617000,48,15.33,17275,Education,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,692102,Rural,AUTO,SouthZone,1,33.6,15.1,0.446,0.424,Low,Salaried,Partner,Yes,Yes,No,0
LN100033,C200033,25,Female,HighSchool,Single,Business,3,28400,2367,227,2.0,624,12,0,0,231000,18,14.95,14405,Education,Unsecured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,345823,Rural,AUTO,NorthZone,1,24.7,24.8,0.848,0.748,Medium,Salaried,Partner,No,Yes,Yes,0
LN100034,C200034,47,Male,PostGraduate,Married,Salaried,43,37600,3133,607,1.946,703,53,1,0,221000,60,16.98,5490,Personal,Unsecured,2024-01-01,Active,0,New,Kerala,Unknown,Unknown,294242,Urban,AUTO,SouthZone,4,23.0,14.2,0.324,0.335,Medium,Salaried,Field,No,Yes,No,0
LN100035,C200035,23,Female,HighSchool,Married,SelfEmployed,7,28700,2392,58,1.146,562,22,0,0,78000,36,14.46,2683,Home,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,292226,SemiUrban,AUTO,EastZone,3,80.0,16.0,0.574,0.568,Medium,Salaried,Field,No,Yes,No,1
LN100036,C200036,40,Male,HighSchool,Married,Salaried,83,39800,3317,719,1.191,497,117,1,1,137000,72,19.39,3233,Home,Secured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,803576,SemiUrban,AUTO,EastZone,0,8.6,21.0,0.693,0.74,Medium,MSME,Field,No,No,No,1
LN100037,C200037,21,Female,PostGraduate,Single,Business,6,89300,7442,609,1.346,732,7,0,0,414000,60,12.94,9407,Vehicle,Secured,2024-01-01,Active,0,Repeat,Madhya Pradesh,Unknown,Unknown,403475,Urban,AUTO,CentralZone,1,12.9,19.0,0.683,0.545,High,Agri,Branch,Yes,Yes,No,0
LN100038,C200038,22,Male,PostGraduate,Divorced,Salaried,5,113900,9492,193,2.0,680,34,0,0,1273000,84,9.5,20806,Home,Secured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,547014,Urban,AUTO,WestZone,0,44.8,13.2,0.414,0.368,High,Salaried,Branch,No,Yes,No,0
LN100039,C200039,40,Male,PostGraduate,Married,Salaried,20,141200,11767,754,1.733,685,54,0,0,756000,48,11.28,19642,Agri,Secured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,478666,Urban,AUTO,WestZone,4,50.1,14.3,0.484,0.412,High,Mixed,Digital,No,No,No,0
LN100040,C200040,46,Female,HighSchool,Divorced,Salaried,24,63300,5275,1408,1.038,676,24,0,0,120000,36,13.39,4066,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,280430,SemiUrban,AUTO,WestZone,3,55.6,13.0,0.334,0.356,Low,MSME,Branch,No,No,No,0
LN100041,C200041,40,Male,Graduate,Married,Salaried,61,61900,5158,107,2.0,654,100,0,0,315000,36,11.92,10450,Vehicle,Secured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,171508,SemiUrban,AUTO,EastZone,2,8.3,20.0,0.95,0.826,Medium,Agri,Branch,No,No,No,1
LN100042,C200042,36,Female,Graduate,Married,Salaried,51,107500,8958,81,1.063,715,102,0,0,199000,24,12.77,9439,Vehicle,Secured,2024-01-01,Active,0,Repeat,Karnataka,Unknown,Unknown,805464,SemiUrban,AUTO,SouthZone,3,4.7,14.2,0.129,0.322,Low,MSME,Branch,No,Yes,Yes,0
LN100043,C200043,34,Male,HighSchool,Single,Salaried,14,45900,3825,603,1.624,580,0,0,0,162000,36,14.9,5608,Home,Secured,2024-01-01,Active,0,Repeat,West Bengal,Unknown,Unknown,340555,SemiUrban,AUTO,EastZone,4,30.5,18.1,0.471,0.598,Medium,MSME,Partner,No,No,No,0
LN100044,C200044,21,Male,Graduate,Married,Salaried,17,57300,4775,2294,2.0,696,28,0,0,113000,12,10.95,9984,Home,Secured,2024-01-01,Active,1,New,Gujarat,Unknown,Unknown,911198,SemiUrban,AUTO,WestZone,0,8.4,13.6,0.471,0.34,Low,Agri,Digital,No,Yes,No,1
LN100045,C200045,29,Male,Graduate,Married,Salaried,30,106500,8875,264,1.031,664,47,0,0,548000,84,9.25,8887,Home,Secured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,737254,Urban,AUTO,WestZone,4,16.1,8.3,0.492,0.316,High,Agri,Field,No,Yes,Yes,0
LN100046,C200046,32,Female,HighSchool,Married,Unemployed,7,18800,1567,73,2.0,531,0,0,0,171000,120,20.59,3372,Agri,Secured,2024-01-01,Active,0,TopUp,Madhya Pradesh,Unknown,Unknown,246440,Urban,AUTO,CentralZone,3,3.3,20.9,0.529,0.626,High,Salaried,Branch,No,Yes,No,0
LN100047,C200047,50,Male,Graduate,Married,Salaried,71,55200,4600,455,0.734,594,83,0,0,170000,84,11.12,2922,Vehicle,Secured,2024-01-01,Active,0,Repeat,Madhya Pradesh,Unknown,Unknown,165683,Urban,AUTO,CentralZone,4,8.9,21.3,0.594,0.594,High,Mixed,Branch,No,Yes,No,1
LN100048,C200048,42,Female,Graduate,Single,Business,19,120000,10000,1189,2.0,626,0,2,1,403000,18,13.29,24818,Education,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,824750,Urban,AUTO,EastZone,1,11.4,14.8,0.487,0.472,High,MSME,Branch,No,Yes,No,1
LN100049,C200049,21,Male,HighSchool,Married,SelfEmployed,59,41200,3433,646,2.0,585,85,0,0,384000,24,18.25,19217,Personal,Unsecured,2024-01-01,Active,1,New,Uttar Pradesh,Unknown,Unknown,526463,Urban,AUTO,NorthZone,2,0.0,25.1,0.728,0.638,High,Salaried,Digital,No,No,No,0
LN100050,C200050,41,Female,PostGraduate,Single,SelfEmployed,6,157800,13150,580,1.171,676,14,0,0,717000,72,14.1,14813,Home,Secured,2024-01-01,Active,1,TopUp,Tamil Nadu,Unknown,Unknown,537113,SemiUrban,AUTO,SouthZone,2,9.6,17.4,0.385,0.405,Medium,Mixed,Field,No,Yes,No,0
LN100051,C200051,33,Male,PostGraduate,Single,Salaried,72,256300,21358,4047,1.45,606,73,0,1,906000,48,18.66,26927,Vehicle,Secured,2024-01-01,Active,1,Repeat,Kerala,Unknown,Unknown,571072,Rural,AUTO,SouthZone,2,3.0,14.7,0.188,0.29,Low,MSME,Field,No,Yes,Yes,1
LN100052,C200052,29,Male,PostGraduate,Married,Salaried,13,66900,5575,181,2.0,551,2,0,1,486000,18,14.29,30157,Agri,Secured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,664779,Urban,AUTO,WestZone,4,34.1,19.0,0.604,0.547,Medium,Salaried,Digital,Yes,Yes,No,1
LN100053,C200053,45,Male,Graduate,Single,Business,48,95400,7950,11,2.0,650,67,0,0,561000,36,16.22,19784,Business,Unsecured,2024-01-01,Active,0,TopUp,Telangana,Unknown,Unknown,560822,SemiUrban,AUTO,SouthZone,3,15.8,14.2,0.365,0.399,Low,Mixed,Field,No,Yes,Yes,0
LN100054,C200054,50,Male,Other,Divorced,SelfEmployed,21,42600,3550,384,1.388,771,75,0,0,137000,36,11.91,4544,Education,Unsecured,2024-01-01,Active,0,Repeat,Maharashtra,Unknown,Unknown,710639,Rural,AUTO,WestZone,4,10.4,16.6,0.458,0.461,Low,Agri,Partner,No,Yes,No,1
LN100055,C200055,49,Male,PostGraduate,Married,SelfEmployed,55,178000,14833,1887,2.0,629,68,0,0,1227000,60,15.35,29416,Personal,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,845289,Urban,AUTO,SouthZone,2,17.2,14.4,0.317,0.261,High,Salaried,Branch,No,Yes,No,0
LN100056,C200056,27,Male,Graduate,Married,SelfEmployed,6,57400,4783,791,1.325,591,7,0,0,86000,18,19.41,5545,Education,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,827798,Urban,AUTO,SouthZone,0,17.5,15.5,0.32,0.474,High,Salaried,Field,No,Yes,No,0
LN100057,C200057,34,Male,Graduate,Single,Salaried,43,45200,3767,59,1.048,775,72,1,0,220000,84,12.03,3887,Personal,Unsecured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,165639,Urban,AUTO,WestZone,0,57.5,13.2,0.242,0.366,High,MSME,Digital,Yes,Yes,No,0
LN100058,C200058,41,Male,HighSchool,Married,Farmer,40,20300,1692,764,2.0,638,101,0,0,78000,18,18.06,4979,Personal,Unsecured,2024-01-01,Active,0,New,Madhya Pradesh,Unknown,Unknown,733246,SemiUrban,AUTO,CentralZone,3,25.2,20.5,0.669,0.577,Low,MSME,Field,Yes,Yes,No,0
LN100059,C200059,49,Male,PostGraduate,Married,Business,46,177500,14792,412,1.258,597,72,0,0,552000,36,11.49,18200,Home,Secured,2024-01-01,Active,0,Repeat,Bihar,Unknown,Unknown,521385,SemiUrban,AUTO,EastZone,0,12.7,24.8,0.837,0.71,Medium,Salaried,Branch,No,Yes,No,1
LN100060,C200060,32,Male,Graduate,Married,Salaried,30,47700,3975,170,2.0,770,87,0,0,107000,12,10.85,9449,Home,Secured,2024-01-01,Active,0,TopUp,Tamil Nadu,Unknown,Unknown,963083,Urban,AUTO,SouthZone,2,12.3,16.1,0.379,0.445,High,Mixed,Digital,No,Yes,No,0
LN100061,C200061,35,Male,PostGraduate,Married,Farmer,24,18600,1550,151,2.0,542,0,0,1,112000,48,19.16,3358,Personal,Unsecured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,968262,Rural,AUTO,WestZone,3,8.4,20.0,0.679,0.606,Low,Agri,Digital,Yes,Yes,No,1
LN100062,C200062,24,Female,Graduate,Married,SelfEmployed,5,44700,3725,220,2.0,576,24,0,0,463000,84,14.13,8710,Vehicle,Secured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,475895,SemiUrban,AUTO,WestZone,3,5.5,15.5,0.335,0.369,Low,MSME,Field,Yes,No,No,1
LN100063,C200063,23,Female,Other,Married,SelfEmployed,6,85200,7100,1174,1.098,631,0,0,0,335000,84,15.82,6619,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,608798,Urban,AUTO,WestZone,3,13.5,15.2,0.304,0.366,High,Mixed,Branch,Yes,Yes,No,1
LN100064,C200064,47,Male,PostGraduate,Married,Farmer,6,151700,12642,2863,1.072,834,3,0,0,407000,48,11.86,10690,Personal,Unsecured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,289193,Rural,AUTO,WestZone,0,47.1,24.3,0.591,0.571,Medium,Salaried,Digital,No,Yes,No,0
LN100065,C200065,54,Other,Other,Married,SelfEmployed,46,32800,2733,136,1.628,528,58,0,0,121000,36,16.99,4313,Agri,Secured,2024-01-01,Active,1,New,Maharashtra,Unknown,Unknown,716387,SemiUrban,AUTO,WestZone,1,23.5,13.2,0.454,0.401,Low,Salaried,Digital,No,Yes,No,1
LN100066,C200066,37,Female,Graduate,Single,Business,5,206300,17192,771,2.0,520,0,1,1,2116000,36,17.84,76329,Personal,Unsecured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,382327,SemiUrban,AUTO,WestZone,2,0.1,20.1,0.565,0.605,Low,Salaried,Field,Yes,Yes,Yes,1
LN100067,C200067,50,Male,HighSchool,Single,SelfEmployed,9,30600,2550,861,2.0,620,39,1,0,95000,24,16.62,4680,Home,Secured,2024-01-01,Active,0,TopUp,Bihar,Unknown,Unknown,112167,Urban,AUTO,EastZone,0,4.3,23.1,0.667,0.725,High,MSME,Branch,No,No,No,0
LN100068,C200068,42,Male,PostGraduate,Married,Salaried,91,46400,3867,141,2.0,751,112,0,0,381000,48,13.75,10364,Education,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,231560,Urban,AUTO,WestZone,2,8.2,14.1,0.474,0.484,High,MSME,Branch,No,Yes,No,0
LN100069,C200069,30,Female,PostGraduate,Married,Business,43,120100,10008,198,0.851,678,48,1,0,244000,36,13.84,8320,Vehicle,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,946557,SemiUrban,AUTO,NorthZone,0,3.0,19.2,0.519,0.656,Medium,Mixed,Digital,Yes,No,No,0
LN100070,C200070,42,Female,HighSchool,Single,Salaried,47,43100,3592,669,1.427,578,64,0,0,164000,48,13.68,4455,Agri,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,396287,Rural,AUTO,NorthZone,2,16.6,23.7,0.764,0.724,Low,Agri,Branch,Yes,Yes,No,1
LN100071,C200071,56,Female,PostGraduate,Married,SelfEmployed,16,90500,7542,806,1.469,513,7,0,0,586000,120,17.23,10270,Business,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,850365,Urban,AUTO,WestZone,4,72.5,20.9,0.289,0.398,Medium,Salaried,Digital,No,No,Yes,1
LN100072,C200072,37,Female,Graduate,Single,Salaried,43,81100,6758,1689,2.0,582,71,0,0,343000,24,20.36,17518,Education,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,980285,Urban,AUTO,WestZone,0,9.4,15.4,0.399,0.382,High,Salaried,Branch,Yes,Yes,No,0
LN100073,C200073,56,Male,HighSchool,Married,Salaried,30,34300,2858,495,2.0,640,0,1,1,348000,36,10.83,11365,Personal,Unsecured,2024-01-01,Active,1,New,Madhya Pradesh,Unknown,Unknown,846249,Urban,AUTO,CentralZone,1,20.3,20.3,0.68,0.595,Medium,Mixed,Field,No,Yes,No,0
LN100074,C200074,21,Male,Graduate,Married,SelfEmployed,1,62400,5200,382,1.905,628,0,1,0,447000,72,15.29,9522,Personal,Unsecured,2024-01-01,Active,0,New,Madhya Pradesh,Unknown,Unknown,486702,SemiUrban,AUTO,CentralZone,1,19.2,18.4,0.676,0.583,Medium,MSME,Digital,No,No,Yes,1
LN100075,C200075,47,Male,PostGraduate,Married,Salaried,30,147400,12283,45,2.0,618,26,1,0,899000,36,11.3,29560,Vehicle,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,578011,Urban,AUTO,NorthZone,0,8.7,18.9,0.635,0.639,Medium,MSME,Digital,No,Yes,No,0
LN100076,C200076,39,Male,Graduate,Single,Salaried,21,110900,9242,1085,1.673,614,10,0,0,495000,48,17.35,14373,Personal,Unsecured,2024-01-01,Active,0,Repeat,Rajasthan,Unknown,Unknown,804924,Urban,AUTO,WestZone,2,0.9,19.8,0.593,0.619,High,Salaried,Branch,No,No,No,0
LN100077,C200077,34,Male,PostGraduate,Married,Unemployed,1,43800,3650,71,2.0,500,34,0,1,314000,12,23.44,29607,Education,Unsecured,2024-01-01,Active,1,Repeat,West Bengal,Unknown,Unknown,535327,Rural,AUTO,EastZone,2,20.5,19.7,0.618,0.499,Low,Mixed,Branch,No,Yes,No,1
LN100078,C200078,39,Male,HighSchool,Single,Salaried,15,40300,3358,598,2.0,680,12,0,0,205000,24,11.44,9597,Home,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,435476,SemiUrban,AUTO,NorthZone,2,32.3,19.9,0.682,0.606,Low,Salaried,Branch,No,No,Yes,1
LN100079,C200079,21,Male,PostGraduate,Married,SelfEmployed,59,57900,4825,333,1.977,631,76,1,0,341000,48,13.34,9206,Home,Secured,2024-01-01,Active,0,TopUp,Andhra Pradesh,Unknown,Unknown,527020,Urban,AUTO,SouthZone,1,2.8,19.6,0.66,0.487,Medium,Mixed,Branch,No,No,Yes,1
LN100080,C200080,35,Male,PostGraduate,Married,SelfEmployed,42,240600,20050,3463,2.0,662,67,0,0,916000,18,13.57,56530,Agri,Secured,2024-01-01,Active,0,Repeat,Telangana,Unknown,Unknown,925844,SemiUrban,AUTO,SouthZone,0,4.7,17.7,0.373,0.392,Medium,Salaried,Branch,Yes,Yes,No,0
LN100081,C200081,42,Male,Graduate,Married,Salaried,88,46000,3833,271,2.0,660,156,0,0,542000,84,16.03,10775,Vehicle,Secured,2024-01-01,Active,1,New,Madhya Pradesh,Unknown,Unknown,583352,SemiUrban,AUTO,CentralZone,4,14.7,21.3,0.457,0.564,Low,Agri,Field,No,Yes,No,0
LN100082,C200082,55,Male,Graduate,Married,Business,39,54600,4550,29,2.0,453,42,0,0,560000,72,14.73,11759,Home,Secured,2024-01-01,Active,1,Repeat,Telangana,Unknown,Unknown,464678,SemiUrban,AUTO,SouthZone,2,5.4,17.4,0.367,0.447,Low,Agri,Partner,No,Yes,No,1
